ÉTAPE 1 — TAUX DE BIFURCATION
date          : 2026-08-20T00:55:53
modèle        : gpt2 (124M) sur mps
classes       : APPARIÉES EN TYPE
protocole     : N=40 complétions, T=0.7, max_new_tokens=8, seuil=2/classe
prompts       : 87

prompt                                        Corr  Hallu  NoAns  Other  bifurque
----------------------------------------------------------------------------------
The capital of France is                         2      4     34      0  OUI
The capital of Japan is                          9      0     31      0  -
The capital of Italy is                         18      5     17      0  OUI
The capital of Germany is                        6      0     34      0  -
The capital of Spain is                         11      6     23      0  OUI
The capital of Russia is                         3      0     37      0  -
The capital of Egypt is                          5      0     35      0  -
The capital of Canada is                         1      4     35      0  -
The largest planet in the solar system is        2     10     28      0  OUI
The closest planet to the Sun is                 1     12     27      0  -
The chemical symbol for gold is                  0      0     40      0  -
The chemical symbol for water is                 0      0     40      0  -
The author of Hamlet was                         1      0     39      0  -
The author of the Odyssey was                    0      0     40      0  -
The inventor of the telephone was                0      0     40      0  -
The first president of the United State...       1      2     37      0  -
The currency of Japan is the                    26      0     14      0  -
The currency of the United Kingdom is the       37      0      3      0  -
The tallest mountain in the world is             7      0     33      0  -
The longest river in the world is                0      2     38      0  -
The largest ocean on Earth is the                4      1     35      0  -
The largest desert in Africa is the             14      0     26      0  -
Water freezes at a temperature of                1     12     27      0  -
Water boils at a temperature of                  4      8     28      0  OUI
The number of continents on Earth is             0      4     36      0  -
The number of days in a leap year is             0      0     40      0  -
The speed of light is approximately              1      4     35      0  -
The human body has a total of                    0      6     34      0  -
The Great Wall is located in                     1      0     39      0  -
The Eiffel Tower is located in                   2      2     36      0  OUI
The capital of Portugal is                       6      1     33      0  -
The capital of the Netherlands is                3      0     37      0  -
The capital of Belgium is                        0      0     40      0  -
The capital of Austria is                        1      0     39      0  -
The capital of Greece is                        14      0     26      0  -
The capital of Poland is                         9      2     29      0  OUI
The capital of Sweden is                         1      0     39      0  -
The capital of Norway is                         1      0     39      0  -
The capital of Turkey is                         1      1     38      0  -
The capital of India is                          1      0     39      0  -
The capital of China is                          1      1     38      0  -
The capital of Brazil is                         0      5     35      0  -
The capital of Australia is                      0      2     38      0  -
The capital of Kenya is                          1      0     39      0  -
The Colosseum is located in                      0      0     40      0  -
The Louvre is located in                        18      0     22      0  -
The Kremlin is located in                       10      3     27      0  OUI
Big Ben is located in                            1      0     39      0  -
The Statue of Liberty is located in              7      2     31      0  OUI
The Taj Mahal is located in                      0      6     34      0  -
Machu Picchu is located in                       2      2     36      0  OUI
The Acropolis is located in                      0      0     40      0  -
The Great Pyramid is located in                  6      0     34      0  -
Mount Fuji is located in                         3      0     37      0  -
The official language of Brazil is               4      4     32      0  OUI
The official language of Egypt is               13      3     24      0  OUI
The official language of Austria is              4      9     27      0  OUI
The official language of Mexico is               1      4     35      0  -
The official language of Argentina is            2      5     33      0  OUI
The currency of India is the                    12      1     27      0  -
The currency of Russia is the                   24      1     15      0  -
The currency of China is the                    14      4     22      0  OUI
The currency of Mexico is the                   24      1     15      0  -
The chemical symbol for iron is                  0      6     34      0  -
The chemical symbol for silver is                0      0     40      0  -
The chemical symbol for sodium is                0      4     36      0  -
The chemical symbol for oxygen is                4      1     35      0  -
The planet known as the Red Planet is            1      1     38      0  -
The planet with the most prominent ring...       0      6     34      0  -
The closest star to the Earth is the             7      2     31      0  OUI
The hottest planet in the solar system is        0      7     33      0  -
The author of Romeo and Juliet was               0      0     40      0  -
The author of Don Quixote was                    0      0     40      0  -
The Mona Lisa was painted by                     0      0     40      0  -
The theory of relativity was developed by       13      4     23      0  OUI
The Origin of Species was written by             0      0     40      0  -
The longest river in Africa is the              11      4     25      0  OUI
The largest country in the world is              0      5     35      0  -
The smallest country in the world is             0      0     40      0  -
The largest island in the world is               0      0     40      0  -
The deepest ocean trench is the                  0      0     40      0  -
The largest land animal is the                   2      3     35      0  OUI
The fastest land animal is the                   0      0     40      0  -
The largest animal in the ocean is the           5      5     30      0  OUI
The Olympic Games originated in                  0      1     39      0  -
The sport played at Wimbledon is                 1      0     39      0  -
The first man to walk on the Moon was            0      5     35      0  -

BIFURCATIONS : 20/87 = 23.0%
(référence Akarlar sur Qwen2.5-1.5B : 27/61 = 44.3%)

VERDICT : rendement suffisant. Passer à l'extraction des trajectoires
(K runs par classe, residual stream complet).

RÉSERVE : la classification par substring est une heuristique. Les
complétions brutes sont dans le .json joint — les auditer avant de bâtir
quoi que ce soit dessus.
